CompPrice,Income,Advertising,Population,Price,Age,Education
138,73,11,276,120,42,17
111,48,16,260,83,65,10
113,35,10,269,80,59,12
117,100,4,466,97,55,14
141,64,3,340,128,38,13
124,113,13,501,72,78,16
115,105,0,45,108,71,15
136,81,15,425,120,67,10
132,110,0,108,124,76,10
132,113,0,131,124,76,17
121,78,9,150,100,26,10
117,94,4,503,94,50,13
122,35,2,393,136,62,18
115,28,11,29,86,53,18
107,117,11,148,118,52,18
149,95,5,400,144,76,18
118,32,0,284,110,63,13
147,74,13,251,131,52,10
110,110,0,408,68,46,17
129,76,16,58,121,69,12
125,90,2,367,131,35,18
134,29,12,239,109,62,18
128,46,6,497,138,42,13
121,31,0,292,109,79,10
145,119,16,294,113,42,12
139,32,0,176,82,54,11
107,115,11,496,131,50,11
98,118,0,19,107,64,17
103,74,0,359,97,55,11
104,99,15,226,102,58,17
125,94,0,447,89,30,12
136,58,16,241,131,44,18
107,32,12,236,137,64,10
114,38,13,317,128,50,16
115,54,0,406,128,42,17
131,84,11,29,96,44,17
122,76,0,270,100,60,18
121,41,5,412,110,54,10
109,73,0,454,102,65,15
130,60,0,144,138,38,10
119,98,0,18,126,73,17
157,53,0,403,124,58,16
77,69,0,25,24,50,18
123,42,11,16,134,59,13
85,79,6,325,95,69,13
141,63,0,168,135,44,12
127,90,14,16,70,48,15
126,98,0,173,108,55,16
116,52,0,349,98,69,18
157,93,0,51,149,32,17
99,32,18,341,108,80,16
121,90,0,150,108,75,16
153,40,3,112,129,39,18
109,64,13,39,119,61,17
134,103,13,25,144,76,17
143,81,5,60,154,61,18
133,82,0,54,84,50,17
93,91,0,22,117,75,11
103,93,15,188,103,74,16
118,71,4,148,114,80,13
122,102,19,469,123,29,13
105,32,0,358,107,26,13
139,45,0,146,133,77,17
119,88,10,170,101,61,13
100,67,12,184,104,32,16
122,26,0,197,128,55,13
127,92,0,508,91,56,18
126,61,14,152,115,47,16
149,69,20,366,134,60,13
127,59,0,339,99,65,12
89,81,15,237,99,74,12
148,51,16,148,150,58,17
115,45,0,432,116,25,15
118,90,10,54,104,31,11
150,68,5,125,136,64,13
88,111,23,480,92,36,16
102,87,10,346,70,64,15
118,71,12,44,89,67,18
134,48,1,139,145,65,12
134,67,0,286,90,41,13
113,100,16,353,79,68,11
116,72,0,237,128,70,13
151,83,4,325,139,28,17
109,36,7,468,94,56,11
111,25,0,52,121,43,18
125,103,0,304,112,49,13
150,84,9,432,134,64,15
131,67,7,272,126,54,16
117,42,7,144,111,62,10
128,66,3,493,119,45,16
115,22,0,491,103,64,11
97,46,11,267,107,80,15
114,113,0,97,125,29,12
145,30,0,67,104,55,17
115,97,5,134,84,55,11
134,25,10,237,148,59,13
147,42,10,407,132,73,16
161,82,5,287,129,33,16
122,77,24,382,127,36,16
121,47,3,220,107,56,16
113,69,11,94,106,76,12
128,93,0,89,118,34,18
113,22,0,57,97,65,16
123,91,0,334,96,78,17
121,96,0,472,138,51,12
104,100,8,398,97,61,11
102,33,0,217,139,70,18
134,107,0,104,108,60,12
